symbol,adj_open,adj_high,adj_low,adj_close,volume
pan,23.41,23.41,22.19,22.97,14270
pcg,,,,7.64,0
pct,4.59,4.76,4.51,4.68,37600
pdc,3.6,3.6,3.6,3.6,6500
pdn,24.76,24.99,23.61,24.64,1110
pdr,7.31,7.52,7.31,7.45,17210
pet,12.02,12.49,11.95,12.42,2759150
pgc,7.93,8.05,7.93,8.05,51420
pgd,21.24,21.3,20.9,21.19,229180
pgi,7.47,7.47,7.16,7.16,7680
pgs,16.86,18.17,16.86,18.12,3290010
pgt,6.2,6.3,6.2,6.3,1100
phc,3.48,3.48,3.48,3.48,100
phr,21.95,22.18,21.33,21.41,8770
pit,7.75,7.75,7.75,7.75,850
piv,6.02,6.71,6.02,6.71,7700
pjc,,,,5.65,0
pjt,5.35,5.35,5.35,5.35,10
plc,14.31,14.58,14.24,14.31,382130
pmc,41.71,41.71,40.42,41.28,27100
pms,5.99,5.99,5.99,5.99,400
pnc,6.6,6.6,6.6,6.6,110
pnj,20.42,21.04,20.42,21.04,1670
pom,,,,12.7,0
pot,11.52,11.52,11.52,11.52,200
ppc,15.99,16.19,15.99,16.19,506470
ppe,3.1,3.1,3.1,3.1,200
ppi,9.73,9.73,9.55,9.64,55240
ppp,,,,7.34,0
pps,6.95,6.95,6.89,6.96,13000
prc,7.84,7.84,6.61,6.91,500
psc,,,,5.21,0
psd,18.81,20.67,18.81,20.68,14900
psi,6.7,6.8,6.7,6.8,1500
ptb,20.27,20.44,20.27,20.35,3380
ptc,3.17,3.17,3.17,3.17,10
ptd,,,,10.06,0
pti,8.45,8.45,8.45,8.45,1044
ptl,3.2,3.3,3.1,3.1,1102640
pts,4.25,4.5,4.08,4.33,2400
pv2,3.1,3.2,3.0,3.1,203000
pvb,31.39,33.47,31.39,33.14,333300
pvc,18.45,19.97,18.28,19.54,2738243
pvd,63.11,65.17,63.11,64.82,395610
pve,6.96,7.04,6.73,6.96,132300
pvg,10.65,10.84,10.56,10.65,213960
pvi,16.29,16.54,15.87,16.54,23958
pvl,3.5,3.6,3.4,3.6,200500
pvr,3.6,3.6,3.6,3.6,10500
pvs,28.37,28.54,27.72,27.97,2323286
pvt,10.77,11.17,10.77,11.01,2583710
pvv,3.1,3.1,3.1,3.1,5400
pvx,4.4,4.6,4.3,4.4,6912886
pxa,3.43,3.43,3.33,3.33,2705
pxi,4.43,4.52,4.34,4.43,77620
pxs,15.51,15.51,15.3,15.51,674340
pxt,3.3,3.5,3.3,3.4,19350
qcg,8.09,8.29,8.09,8.09,49330
qhd,8.06,8.06,8.06,8.06,100
qnc,5.95,5.95,5.86,5.86,29000
qst,,,,7.1,0
qtc,16.24,17.25,16.24,17.25,23600
ral,35.55,37.86,35.55,36.38,9840
rcl,16.62,16.62,15.79,15.79,200
rdp,6.28,6.53,6.23,6.24,8940
ree,20.08,20.29,20.08,20.22,624810
ric,8.4,8.4,8.2,8.2,8000
s55,13.84,14.15,13.84,14.15,6800
s74,8.69,8.77,8.69,8.77,200
s99,12.53,13.25,12.35,13.16,224400
saf,,,,21.93,0
sam,5.07,5.12,5.07,5.12,794030
sap,,,,10.9,0
sav,10.84,11.39,10.69,10.68,36780
sba,7.42,7.49,7.42,7.49,31910
sbt,8.98,9.05,8.98,9.05,45500
sc5,20.54,20.54,20.1,20.1,20790
scd,23.67,24.37,23.67,23.76,160
sci,,,,8.12,0
scj,7.16,7.43,7.16,7.43,66500
scl,14.0,14.0,13.56,14.0,30500
scr,7.02,7.18,6.86,7.1,1625250
sd2,5.5,5.57,5.5,5.57,20200
sd4,6.3,6.3,6.3,6.3,15200
sd5,10.43,10.51,10.43,10.51,37310
sd6,10.98,11.14,10.98,11.06,57100
sd7,9.6,9.7,9.5,9.6,16800
sd9,9.28,9.35,9.21,9.28,377000
sda,4.05,4.12,4.05,4.11,9200
sdc,,,,9.46,0
sdd,4.4,4.6,4.4,4.6,137500
sde,7.9,8.0,7.9,8.0,300
sdg,,,,18.67,0
sdh,5.2,5.2,5.1,5.2,12700
sdn,,,,18.14,0
sdp,5.86,6.02,5.69,6.02,17100
sdt,11.11,11.19,11.11,11.19,63320
sdu,8.7,8.8,8.6,8.8,19400
sdy,3.4,3.4,3.4,3.4,4600
seb,,,,14.84,0
sed,13.73,13.73,12.47,12.47,5200
sfc,14.3,16.02,14.16,14.95,1170
sfi,22.45,22.6,21.33,21.33,2610
sfn,,,,11.35,0
sgc,24.07,24.07,24.07,24.07,600
sgd,6.98,6.98,6.98,6.98,700
sgh,,,,23.66,0
sgt,4.5,5.0,4.4,4.5,7430
sha,3.25,3.25,3.25,3.25,13500
shb,7.28,7.28,7.12,7.2,2698348
shi,3.81,3.87,3.74,3.81,13220
shn,4.39,4.39,4.19,4.19,466210
shp,10.28,10.51,10.28,10.44,58960
shs,8.1,8.2,8.01,8.1,1047600
sic,3.25,3.25,3.25,3.25,300
sii,,,,17.7,0
sj1,,,,6.88,0
sjc,,,,5.84,0
sjd,11.47,11.61,11.47,11.52,49050
sje,16.16,16.8,16.16,16.44,4000
sjs,19.62,20.19,19.62,20.0,134310
skg,16.87,17.15,16.03,16.03,10370
sls,13.89,13.89,13.39,13.39,700
sma,5.12,5.22,5.03,5.22,133480
smc,8.1,8.19,8.1,8.19,4510
smt,13.33,13.33,13.33,13.34,100
spi,7.0,7.0,7.0,7.0,100
spm,20.23,20.23,20.23,20.23,48670
spp,,,,4.81,0
sra,2.8,2.8,2.6,2.6,4500
src,11.25,11.3,11.15,11.15,47600
srf,7.94,8.34,7.94,8.04,1100
ssc,48.19,48.19,48.19,48.19,50
ssi,17.86,17.86,17.72,17.79,1568860
ssm,8.16,8.45,8.16,8.31,35489
st8,7.9,7.9,7.78,7.83,790
stb,16.58,16.74,16.58,16.74,442210
stc,12.34,12.57,12.34,12.58,2100
stg,5.09,5.4,5.09,5.4,40
stp,7.44,7.52,7.44,7.52,10400
stt,,,,4.0,0
svc,13.05,13.13,12.97,13.05,47340
svi,,,,21.87,0
svn,,,,10.2,0
svt,5.91,5.91,5.91,5.91,70
szl,14.35,14.43,14.27,14.43,54760
tac,24.25,24.25,24.25,24.25,20
tag,,,,14.5,0
tbc,16.15,16.22,15.63,15.85,7150
tbx,10.0,10.0,10.0,10.0,4729
tc6,4.62,4.62,4.51,4.52,18458
tcl,23.37,23.54,23.03,23.11,20070
tcm,23.23,23.57,23.15,23.39,349880
tco,7.26,7.26,7.26,7.26,11440
tcr,5.46,5.46,5.36,5.45,2030
tcs,5.22,5.22,5.22,5.23,5000
tct,41.56,43.54,41.56,43.53,10600
tdc,7.49,7.56,7.42,7.42,466430
tdh,9.27,9.44,9.27,9.38,224270
tdn,4.1,4.19,4.1,4.19,3200
tdw,,,,16.28,0
tet,,,,13.17,0
th1,,,,19.63,0
thb,,,,17.04,0
thg,7.51,7.51,7.1,7.1,1010
ths,5.68,5.68,5.68,5.68,100
tht,5.14,5.35,5.14,5.35,6200
tic,7.98,7.98,7.98,7.97,200
tie,12.12,12.2,12.12,12.2,43890
tig,5.46,5.6,5.46,5.53,36500
tix,15.69,16.77,15.54,15.54,1720
tjc,4.74,4.97,4.74,4.74,74200
tkc,4.46,4.46,4.46,4.46,300
tku,,,,6.93,0
tlg,18.37,18.37,18.37,18.37,20
tlh,6.24,6.31,6.24,6.25,329560
tmc,8.07,8.29,8.07,8.3,800
tmp,15.71,15.71,15.71,15.71,400
tms,27.99,27.99,26.46,27.98,14020
tmt,5.54,5.68,5.54,5.61,6070
tmx,,,,6.03,0
tna,14.23,14.23,14.23,14.23,30000
tnc,9.2,9.62,9.2,9.61,118270
tng,6.16,6.16,6.03,6.03,127100
tnt,1.78,1.78,1.72,1.78,52850
tpc,7.32,7.32,7.32,7.32,7350
tph,,,,5.87,0
tpp,7.06,7.31,7.06,7.31,400
tra,40.92,40.92,40.39,40.39,2280
trc,27.16,27.16,27.16,27.16,60300
ts4,7.97,7.97,7.89,7.89,10350
tsb,,,,8.42,0
tsc,7.35,7.84,7.35,7.84,379540
tst,4.5,4.6,4.5,4.5,32400
ttc,7.98,8.13,7.83,8.05,5300
ttf,10.38,10.48,10.38,10.48,1472530
ttz,4.18,4.37,4.18,4.36,7600
tv1,11.07,11.57,11.07,11.57,640
tv2,7.26,7.3,7.26,7.29,700
tv3,6.43,6.43,6.43,6.43,800
tv4,5.71,5.71,5.71,5.72,200
tvd,6.79,6.95,6.79,6.94,8400
txm,,,,7.71,0
tya,5.9,5.9,5.75,5.89,27490
udc,6.4,6.5,6.4,6.4,74320
uic,12.11,12.11,12.11,12.11,600
uni,6.02,6.2,6.02,6.2,1300
v12,6.41,6.41,6.34,6.41,800
v21,,,,6.3,0
vat,,,,3.09,0
vbc,7.83,7.83,7.83,7.83,100
vbh,12.0,12.0,12.0,12.0,100
vc1,8.61,8.61,8.61,8.61,30000
vc2,10.22,10.28,10.22,10.22,13710
vc3,,,,3.65,0
vc6,5.85,5.85,5.85,5.85,3000
vc7,4.44,4.69,4.44,4.44,17200
vc9,,,,5.67,0
vcb,17.94,18.08,17.94,18.08,178060
vcc,8.79,8.79,8.79,8.79,1000
vcf,125.37,130.08,125.37,130.07,560
vcg,11.48,11.64,11.48,11.56,685411
vcm,,,,8.77,0
vcr,2.6,2.7,2.5,2.6,29613
vcs,6.24,6.28,6.16,6.2,17800
vdl,,,,18.04,0
vds,6.07,6.07,5.98,5.98,78100
ve1,3.9,3.9,3.7,3.7,2000
ve2,7.46,7.46,7.4,7.39,600
ve3,7.14,7.14,6.8,6.8,500
ve4,,,,5.99,0
ve8,4.34,5.16,4.34,5.16,4400
ve9,4.4,4.72,4.4,4.72,1100
vfg,18.92,18.92,18.92,18.93,10
vfr,9.78,9.96,9.4,9.87,103700
vgp,,,,15.07,0
vgs,5.95,6.02,5.87,6.02,537700
vhc,23.48,23.48,23.19,23.3,83710
vhg,10.0,10.2,9.9,10.0,2761180
vhl,11.91,12.38,11.91,11.95,5300
vic,26.29,26.67,26.1,26.48,730540
vid,4.26,4.44,4.26,4.44,252190
vie,,,,2.7,0
vig,4.6,4.7,4.6,4.6,299800
vip,6.51,6.63,6.45,6.64,431250
vis,6.94,7.03,6.85,6.86,173800
vit,7.81,7.81,7.6,7.81,17100
vix,11.91,13.07,11.79,13.08,523300
vkc,4.62,4.82,4.62,4.82,402600
vla,7.7,7.7,7.55,7.71,43900
vmc,,,,12.0,0
vmd,11.85,11.85,11.77,11.77,2500
vnc,12.17,12.17,12.17,12.17,2633
vnd,9.68,9.8,9.68,9.74,426800
vne,4.72,4.86,4.72,4.71,355650
vnf,26.52,27.39,26.52,26.96,1700
vng,,,,8.55,0
vnl,,,,15.66,0
vnm,69.71,70.74,69.71,70.22,135470
vnr,15.78,16.02,15.78,15.94,12720
vns,30.31,30.31,29.46,30.3,2610
vnt,,,,18.96,0
vos,4.1,4.3,4.0,4.3,511360
vph,3.51,3.65,3.42,3.6,35420
vpk,9.67,9.71,9.58,9.71,10210
vrc,4.24,4.47,4.16,4.32,176900
vsc,34.96,35.27,34.34,34.96,31450
vsh,11.59,11.59,11.43,11.43,249330
vsi,5.59,5.96,5.59,5.96,1400
vtb,7.65,7.65,7.36,7.65,930
vtc,4.22,4.31,4.12,4.3,7110
vtl,,,,19.28,0
vto,5.73,5.97,5.73,5.89,1068340
vts,,,,9.7,0
vtv,6.24,6.57,6.24,6.45,67296
vxb,,,,7.88,0
wcs,90.24,90.24,90.24,90.24,300
wss,4.6,4.7,4.5,4.6,191300
