symbol,open,high,low,close,volume
tct,45.86,46.47,45.77,46.47,2000
tdc,5.74,5.74,5.65,5.74,68010
tdh,8.86,9.06,8.86,9.05,115410
tdn,4.33,4.33,4.33,4.33,100
tdw,16.71,16.79,16.71,16.79,190
th1,17.49,17.49,17.49,17.49,100
thb,19.3,23.12,19.12,20.49,8800
thg,22.5,22.5,21.72,22.5,82180
tic,9.99,9.99,9.99,9.99,1000
tie,11.17,11.17,11.08,11.08,20
tig,9.37,9.45,9.12,9.46,2354200
tix,19.82,19.82,19.82,19.82,20
tjc,8.27,8.45,8.27,8.45,55600
tkc,10.9,12.06,10.9,11.09,19000
tlg,49.02,50.71,49.02,49.02,140
tlh,3.84,3.92,3.84,3.84,253520
tmp,24.61,24.61,24.61,24.61,2000
tms,74.83,74.83,68.42,74.84,1510
tmt,47.62,48.92,47.18,47.62,36640
tna,20.87,20.87,20.87,20.87,10
tnc,8.59,8.59,8.06,8.59,120
tng,14.64,15.29,14.49,14.64,528204
tnt,11.48,11.48,10.04,10.1,55620
tpp,9.53,10.11,9.53,10.11,2300
tra,45.29,45.29,45.0,45.0,1000
trc,17.5,17.5,17.41,17.5,10690
ts4,7.37,7.37,7.37,7.37,3000
tsc,11.9,12.4,11.9,12.1,1488850
ttb,10.1,10.1,9.7,9.7,195120
ttc,11.87,11.87,11.11,11.79,8300
ttf,22.8,22.8,22.1,22.2,1304110
ttz,6.4,6.5,6.2,6.3,75000
tv1,11.97,12.35,11.97,11.97,5250
tv2,34.48,35.67,34.48,35.38,20000
tv4,10.99,11.34,10.99,11.34,800
tvc,10.52,10.68,10.52,10.68,277100
tvs,10.29,10.29,10.13,10.21,55440
tya,8.39,8.39,7.9,8.14,3250
udc,3.7,3.7,3.5,3.6,67580
uic,17.87,19.01,17.87,19.01,64780
uni,9.63,9.63,9.35,9.35,11000
vaf,10.68,10.68,10.68,10.68,10
vat,9.1,9.1,8.1,8.2,34700
vc3,21.93,22.41,21.12,22.0,127000
vc7,9.68,9.81,9.61,9.68,13000
vc9,6.95,6.95,6.87,6.87,2800
vcb,34.2,34.56,34.05,34.2,426970
vcc,9.8,9.99,9.8,9.99,200
vcf,165.0,165.0,159.0,159.0,840
vcg,11.2,11.38,10.93,11.2,1559280
vcr,2.7,2.7,2.7,2.7,500
vcs,32.57,33.56,32.57,33.06,124500
vds,7.72,7.81,7.72,7.81,15300
ve1,6.1,6.4,6.1,6.4,9200
ve4,9.55,9.55,9.55,9.55,100
ve8,7.6,7.6,7.6,7.6,200
ve9,7.78,7.78,7.22,7.22,700
vfg,44.61,44.61,41.73,41.73,17160
vfr,11.3,11.5,11.3,11.5,8800
vgp,17.03,17.03,17.03,17.03,700
vgs,4.77,4.85,4.69,4.69,299100
vhc,34.03,34.12,33.74,33.93,79470
vhg,7.6,7.6,7.4,7.5,1334570
vhl,22.35,22.35,22.35,22.35,1000
vic,32.29,32.51,31.92,31.92,1007330
vid,5.8,5.9,5.6,5.6,4840
vig,3.3,3.3,3.2,3.2,70300
vip,7.69,7.77,7.69,7.69,97150
vis,6.26,6.61,6.18,6.44,27510
vit,16.67,16.85,16.67,16.86,1100
vix,5.93,6.36,5.93,6.36,2464344
vkc,8.22,8.22,7.77,7.92,26600
vmd,26.64,26.64,25.51,26.64,10750
vmi,7.52,7.61,7.05,7.05,255310
vms,12.35,12.62,11.72,12.35,4000
vnd,12.98,12.98,12.69,12.69,177260
vne,9.91,9.91,9.73,9.73,115210
vnf,66.38,73.59,61.83,73.59,4900
vng,8.93,8.93,8.93,8.93,10
vnl,26.97,27.87,26.97,27.87,1960
vnm,108.48,110.86,108.48,110.85,924150
